"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111362704606611,0.0110252115723276,0.0061406073079378,0,0,0,0,0,0,0,0,0,0.0223103836393356,0,0,0,0,0.0193514208859432,0,0.00177163450415992,0.0942971021133324,0.387884996904336,0.0559947993234508,0,0.00223812837116135,0.0147774342015483,0.00672573015487375,0.00858659892439577,0.0340938020944688,0.0145397319316185,0,0,0.00997830542470696,0.0179148237914547,0.0316093589843136,0.0130903255461452,0.000614372212177414,0,0.0673295168970795,0.046748791581702,0.00720804614051205,0.00871451598739569,0.0105460647652185,0,0,0.00865612389583447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375412396662251,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0.219800625972672,0,0,0.0379892357092027,0.00162265231263004,0.00196491864542032,0,0,0,0,0.00310841670576852,0,0,0,0,0.0785940649757923,0.0127720237421831,0.0027892807951205,0,0,0,0.0551138697875261,0.212273513994108,0.0112162987717974,0.00244844059518677,0.0127136809975673,0,0.205630074897365,0.016056731006133,0.0236933506573514,0.00820820877984022,0.00201838301204321,0.00170588275213138,0,0,0.0394910281660424,0.0239335305700725,0,0,0,0.0025704440122084,0.00780539192136404,0.164535976687115,0.253611271144659,0.0111310253385745,0.287918890202168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00385585178175324,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0.00467086788980568,0,0,0.00822488726574052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062313525258072,0,0,0,0,0.00378866513771146,0.0166363311947929,0,0.0545679654587034,0.00147827560291992,0.000252254961218598,0,0,0,0.0320073261354935,0,0,0,0.00390101034617763,0,0,0,0,0.0504193210707196,0.00124007017982724,0,0,0,0,0,0.00141008044984005,0,0,0,0,0,0,0,0,0,0,0,0,0.0175811200817263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191604856493092,0,0,0,0,0,0,0,0,0,0,0,0.0127473499358192,0,0,0,0,0,0,0,0,0,0,0,0,0.000337919303118412,0,0,0.00019010460837369,0.000307653906414429,0,0,0,0,0,0,0,0,0,0.165683389019268,0.102607331386123,0,0.0114445026185865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583512768157574,0,0,0.0649504050034183,0,0,0,0,0,0,0,0,0,0.00547577511132864,0.0494336871543199,0,0,0,0.0451659395844164,0,0,0,0.0141025765472211,0.0839706196425326,0,0,0,0.0779516931055378,0.005891781371588,0.00255462003443474,0.0216096279038074,0.0033004921064228,0.00988379931288566,0.0429866761113901,0,0.0252760627566357,0.0611307609427573,0.0335781330984061,0.00687387172949591,0.062330532953843,0.0356361031064975,0.0980725239494496,0,0.0203231768482521,0.0114678661105957,0.0109757127593988,0,0,0.0853762424034195,0,0.031255074670424,0.019286040910837,0.000000036525330067229,0,0.00271590589187674,0.329301902550407,0,0.011732489966998,0.0519535893811119,0,0,0.0554533495700653,0.0266926301014586,0.0310469671782376,0.0162351351846463,0.0454062589891268,0,0.0111509067477548,0,0,0.188448761141332,0.0246923454679154,0.0094722830993371,0.00007471345206769,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0.0101545003559834,0,0,0,0,0,0,0,0,0,0.0161783631402312,0,0,0,0.0609459731087067,0.00273904282039803,0,0,0,0,0.00583249163159801,0.0193254762064778,0.0290993488921495,0.11844880155322,0,0.0253907092747963,0,0.114054932954824,0.017972628779953,0.00755775487566352,0.260533593513722,0.00803410392903678,0.0653490711602509,0,0.00146909953818239,0.0487518287348805,0.0613195577819615,0,0.00996620318658816,0,0.00159311513963525,0,0.061014401826276,0.0402166013604785,0,0.017339222184537,0.0098222351258909,0.091530983534463,0,0,0,0,0.00230073466115473,0,0,0,0,0.00097905336342606,0,0.0305510699642726,0.0235742858023158,0,0,0,0,0.0514125775377788,0.0275040386220262,0.0387825912232631,0,0.0114659914655752,0,0,0.0157514866460152,0.0167400218398503,0.0294762158032574,0.378028824335829,0,0.38752427943569,0.0427592753027387,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217829896030225,0,0,0,0,0,0.00382161563138459,0,0.00105341680093715,0,0,0,0,0,0.00464124778505297,0,0,0,0,0,0,0,0,0.00105741387044787,0,0.046708457800185,0,0,0,0,0.00352854224541181,0,0,0,0,0,0,0,0,0,0,0,0,0.0254778590935699,0.00596306124827399,0.00528804404797251,0,0,0,0,0.000246375343772567,0.0440124136273637,0.364088893838169,0,0.0144779342203506,0.011437759396064,0.1899819605357,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0.0024066877132561,0,0.0194708074444074,0.000185096117457714,0,0.000265346934764925,0.0023726526582372,0,0.00127209423875747,0,0.00109900694076335,0,0,0,0,0,0.00138571966877765,0,0,0,0.0287852299636017,0,0.016664745766604,0.00981534447218993,0.0141239370863976,0.00684083569213039,0,0.00508599063174122,0,0.0455992240789983,0.145737202675815,0.00382776388307933,0.0748111416916387,0.0323626611049046,0.000838663490150223,0.314438418166429,0.0346502753383757,0,0.0259607475633203,0.00409947202352664,0.00191944842430492,0.0190520210581194,0.028579753895628,0.0423238032265328,0,0.0517241547914471,0.162448158717949,0.0221870326390339,0.00262149561018404,0.00844090820420494,0.00473826913801826,0.111644327376076,0.0129202365518843,0,0.128847117007816,0.375560048704681,0.08857257958299,0.038983953093411,0,0.0483150956020524,0.350993148891868,0.00405956465389111,0.016985740351971,0.0550490774356339,0.596895664392847,0.022257062007347,0.108149414491673,0.107639898954583,0.19696437446573,0.104241565769542,0,0,0.207535021458834,0.0105576348855249,0,0.00205192282027956,0,0.025818496636938,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839638302886578,0,0,0,0,0,0,0,0,0,0.039590053658473,0,0,0,0,0.00426645688959327,0,0,0.076969812116548,0.000672200250478531,0.00303876075427717,0,0.00549382433028167,0.00633143379656658,0.0278888367599521,0,0.0227506559475585,0,0.0075295761922558,0,0,0,0,0,0,0.0269357830069481,0.010895556509262,0.117258066192559,0,0.0565770575817382,0.00379946882285333,0.251187702132797,0.103862163699823,0.358126719787119,0,0.0666541796510047,0.196678001176644,0,0,0,0.13835288899774,0,0,0,0,0.0224668842706361,0.104184288840795,0.30185957309773,0.00120584173156329,0.044789425222779,0,0,0.066888548705733,0.0103946421700315,0,0,0.0902939344683492,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031569585159028,0,0,0,0,0,0,0,0.0588672115441999,0,0,0,0,0.132679667647291,0.00647701911070496,0,0,0.010667423719269,0.00815149623334092,0.0447911320054056,0,0.0490296474819137,0,0,0,0,0,0,0,0,0,0.0479969610134099,0,0,0,0,0,0,0,0,0,0,0,0,0.00317203358303491,0.0365987069959232,0.107083878785619,0.0849141403776323,0.023818503662846,0.0627515638192824,0,0.107106757522391,0,0,0.00926817206483687,0,0,0.0356150420878768,0,0,0,0.0130732076916627,0,0.00991266128562947,0.263206692466605,0
