"","Group","Biomass","EE","PB","QB","Type","Unassim","BioAcc","ProdCons","DetInput","DetritusFate","Fleet1_Landings","Fleet1_Discards"
"77","Sperm whale",0.0149191226812582,-1,0.0250549643126378,8.67153305656105,0,0.2,0,NA,NA,1,0,0
"78","Harbor seals",0.0165448797712357,-1,0.0874964438422949,23.8358077924577,0,0.2,0,NA,NA,1,0,0
"79","Sea Lions",0.0820509780450521,-1,0.0736127743053866,12.4959474972799,0,0.2,0,NA,NA,1,0,0
"80","Juv. Ele. Seal",0.029300222840305,-1,0.310349105781127,11.7464185704573,0,0.2,0,NA,NA,1,0,0
"81","Adult N. Ele. Seal",0.0655474301472273,-1,0.25217604843196,14.532607262254,0,0.2,0,NA,NA,1,0,0
"82","Fur seals",0.00556947666590348,-1,0.0894244888549331,48.7025899181936,0,0.2,0,NA,NA,1,0,0
"83","Blue whale",0.601768440626106,-1,0.05305865888635,5.39190633776106,0,0.2,0,NA,NA,1,0,0
"84","Gray whale",1.03131442494089,-1,0.0372830738623815,12.2017910341794,0,0.2,0,NA,NA,1,0,0
"85","Dolphins",0.0589977506538714,-1,0.0641568575348518,33.936619660112,0,0.2,0,NA,NA,1,0,0
"86","Brandt's corm.",0.000599684572288135,-1,0.271155342270473,138.210341891854,0,0.2,0,NA,NA,1,0,0
"87","Double corm.",0.000332927770228408,-1,0.145366584894466,144.694891998045,0,0.2,0,NA,NA,1,0,0
"88","Pelagic cormorant",0.0002806439400971,-1,0.173677882936512,138.613364870137,0,0.2,0,NA,NA,1,0,0
"89","Murrelet",2.77480886496134e-05,-1,0.159573211440214,256.487832162118,0,0.2,0,NA,NA,1,0,0
"90","Pigeon Guillemot",0.000108192281353871,-1,0.289569211652585,228.043355267398,0,0.2,0,NA,NA,1,0,0
"91","Caspian tern",7.65461252571503e-05,-1,0.120750007463972,199.157128353662,0,0.2,0,NA,NA,1,0,0
"92","Brown Pelican",0.000305827711890797,-1,0.170293084658049,111.67994894115,0,0.2,0,NA,NA,1,0,0
"93","Detritus",10,-1,0,0,2,0.2,0,NA,0,0,0,0
"94","Fleet1",NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA
